author,roi,date_event,time_event,team_home,team_away,odds,bet,forecast,like,dislike,date_publish
"Игорь",-7.85%,"17 июл",16:30,"Черноморец","Алания",1.76,"ПОБЕДА 2","Ставлю на Аланию, так как они прошлый сезон отлично провели, а черноморец вообще новичок лиги",0,0,"Сегодня в 06:16"
"Родион Макин",-9.51%,"17 июл",16:30,"Черноморец","Алания",2.80,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (2)","помощнее явно гости. скорее всего накидают хозяевам много",0,0,"Сегодня в 06:17"
"Серафима Одинокая",-4.19%,"17 июл",16:30,"Черноморец","Алания",1.76,"ПОБЕДА 2","В предсезонке “Черноморец” сыграл три товарищеских игры.",0,0,"Сегодня в 06:35"
"Виктор Васильев",+2.29%,"17 июл",16:30,"Черноморец","Алания",1.46,"ТОТАЛ БОЛЬШЕ (2)","думаю что тотол больше двух уверенно пробьют в этом противостояние",0,0,"Сегодня в 06:38"
"Михаил Бурлаков",+0.35%,"17 июл",16:30,"Черноморец","Алания",1.86,"ТОТАЛ МЕНЬШЕ (2.5)","Думаю игра будет упорная и нас ждёт хороший матч , верим в игру",0,0,"Сегодня в 06:53"
"Mary Winter",-11.20%,"17 июл",16:30,"Черноморец","Алания",1.76,"ПОБЕДА 2","«Черноморец» вряд ли сумеет сдержать натиск крайне мотивированной «Алании»",0,0,"Сегодня в 06:54"
"Oili Makarainen",+0.70%,"17 июл",16:30,"Черноморец","Алания",1.84,"ОБЕ ЗАБЬЮТ (ДА)","Алания - 3 из последних 4 матчей провела именно на обе забьют",0,0,"Сегодня в 06:57"
"Вовчик Логинович",+2.31%,"17 июл",16:30,"Черноморец","Алания",1.85,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 МЕНЬШЕ (1.5)","Всем поивет в этом матче я счистн чио госте смогут забить больше",0,0,"Сегодня в 07:10"
"Александр Кравченко",-6.64%,"17 июл",16:30,"Черноморец","Алания",2.01,"ДВОЙНОЙ ШАНС 1X","черноморец способен не проиграть в стартовом матче нового сезона",0,0,"Сегодня в 07:12"
"Кос На Юге Рос",-22.44%,"17 июл",16:30,"Черноморец","Алания",3.25,"ТОТАЛ МЕНЬШЕ (1.5)","Проверим такой вариант, думаю игра будет от обороны, верим в чудо",0,0,"Сегодня в 07:22"
"Алексей Крупляк",-4.65%,"17 июл",16:30,"Черноморец","Алания",1.28,"ТОТАЛ БОЛЬШЕ (1.5)","Черноморец вернулся в ФНЛ. Очень интересно понаблюдать за игрой этого коллектива. Алания достаточно грозный соперник. Думаю что игра будет очень зрелещной.",0,0,"Сегодня в 07:33"
"Василий Понькин",+7.22%,"17 июл",16:30,"Черноморец","Алания",2.40,"ФОРА 2 (-1)","Заиграю победу Алании с форой-1, победят 2-0, новичок первого дивизиона не сравнится с Аланией",0,0,"Сегодня в 07:39"
Kostantas,+31.22%,"17 июл",16:30,"Черноморец","Алания",2.40,"ФОРА 2 (-1)","Kaius jduuxs nsusis jsizo kzizo ksisi jsksis ksiozsnoznizozs",0,0,"Сегодня в 07:41"
"Андрей Сысолятин",-12.00%,"17 июл",16:30,"Черноморец","Алания",1.96,"ТОТАЛ БОЛЬШЕ (2.5)","По результатам контрольных игр видно что команды показывают хорошую результативность.",0,0,"Сегодня в 07:59"
"Сергей Расщепкин",-5.65%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания выиграет этот матч у Черноморца, хотя и будет играть в гостях",0,0,"Сегодня в 08:21"
"Игорь Широков",-17.77%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Отдам Викторию Алании, пора клубу в вышку, хватит издеваться над командой.",0,0,"Сегодня в 08:24"
"пацанский флекс",-24.65%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания сильнее составом и одержит в матче победу над черноморцем",0,0,"Сегодня в 08:28"
"Андрей Берсенев",+14.23%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания на порядок выше котируется в этом матче и я ставлю на ее победу.",0,0,"Сегодня в 08:35"
"Алекс Сорокин",+13.25%,"17 июл",16:30,"Черноморец","Алания",1.99,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (1.5)","Всем доброго времени суток друзья!
Делюсь прогнозом на матч Черноморец-Алания!
Ставлю индивидуальный тотал второй команды 1,5 больше голов",0,0,"Сегодня в 08:41"
"Андрей Картышов",0.00%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","ФУТБОЛ
РОССИЯ: ФНЛ - ТУР 1
17.07.2023 19:30

Черноморец
-
Алания

«Черноморец» вернулся в ФНЛ. И сразу «Алания». В первом туре расчитывать на очки Новороссийскому клубу не стоит.",0,0,"Сегодня в 08:43"
"Людмила Рожкова",-16.13%,"17 июл",16:30,"Черноморец","Алания",2.52,"ТОТАЛ МЕНЬШЕ (2)","Ставлю тотал меньше в этом событии ! Голов не ожидаю от слова совсем.",0,0,"Сегодня в 08:49"
"Радик  Буркеев",-19.17%,"17 июл",16:30,"Черноморец","Алания",2.67,"ФОРА 1 (0)","Черноморец давно не был в ФНЛ,но эта команда способна преподнести сюрприз.Знаю,что играть против одной из лучших в прошлом сезоне,но Алания смазала концовку и не факт,что готовы к началу сезона на все 100%.Думаю хозяева не проиграют удачи!",0,0,"Сегодня в 08:51"
"Frank Gremlins",-9.17%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания постарается хорошо вкатиться в сезон, против новичка это получится",0,0,"Сегодня в 08:52"
"Александр Коваленко",+42.33%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Черноморец поднялся в первый дивизион и будет принимать в Новороссийске Аланию. Гости в прошлом сезоне заняли третье место, но не были допущены к стыковым матчам. Думаю они должны обыграть новичков этого турнира.",0,0,"Сегодня в 09:16"
"Городской  Парень",+3.07%,"17 июл",16:30,"Черноморец","Алания",3.48,"НИЧЬЯ","Алания посильнее, но ставим на ничью за счет домашней арены Черноморца",0,0,"Сегодня в 09:25"
"Александр Шир",+2.65%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания опять будет стремиться выйти в наш, так что победа необходима",0,0,"Сегодня в 09:25"
"СЕРГЕЙ МАРАКОВ",+38.71%,"17 июл",16:30,"Черноморец","Алания",1.47,"ТОТАЛ БОЛЬШЕ (2)","новичок ну не знаю как играет алания на мой взгляд сильнее играть будет полагаю тотал всяко пробьют",0,0,"Сегодня в 09:32"
"Михаил Кирилко",-2.14%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Поставлю здесь на Аланию, так как коллектив стабилен и давно уже грезит о РПЛ, но из-за проблем со стадионом не могут попасть в высший дивизион страны второй сезон к ряду. Думаю, что тут Владикавказцы должны обыгрывать соперников на легке",0,0,"Сегодня в 09:45"
"Константин Руденский",-39.00%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алании нудно вновь начинать хорошо чемпионат но не проваливть после зимы",0,0,"Сегодня в 09:57"
"Молодой Шейх 👑🇷🇺",-3.39%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания сильнее на голову, а значит должна одержать победу сегодня.",0,0,"Сегодня в 10:01"
"Юрий Ильев",+21.00%,"17 июл",16:30,"Черноморец","Алания",1.97,"ТОТАЛ БОЛЬШЕ (2.5)","Думаю,что в этом матче эти команды смогут пробить тотал больше 2 5.",0,0,"Сегодня в 10:02"
"Павел Новоселов",-21.94%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","И в данном матче поставлю на победу гостей, команду Алания.",0,0,"Сегодня в 10:02"
"Малых Александр",-6.90%,"17 июл",16:30,"Черноморец","Алания",1.47,"ТОТАЛ БОЛЬШЕ (2)","Поставим также тотал больше 2, Алания конечно в этом матче фаворит, но не понятно чего ожидать от новичка лиги",0,0,"Сегодня в 10:18"
"Виктор Парамонов",-24.05%,"17 июл",16:30,"Черноморец","Алания",1.99,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (1.5)","Черноморец-Алания ставка акцентирована на тотал второй команды",0,0,"Сегодня в 10:26"
"Андрей Санин",+9.07%,"17 июл",16:30,"Черноморец","Алания",1.85,"ТОТАЛ МЕНЬШЕ (2.5)","Первый тур, не знаю в каком состоянии Алания. Что с составом у них. 
Черноморца вообще не знаю, надо пару матчей проследить за ними.",0,0,"Сегодня в 10:46"
"Сергей Лапшин",-29.19%,"17 июл",16:30,"Черноморец","Алания",2.82,"ФОРА 2 (-1)","думаю алания без особых проблем должны разбираться с хозяевами",0,0,"Сегодня в 10:50"
"BORUSSIA DORTMUND",-14.46%,"17 июл",16:30,"Черноморец","Алания",1.97,"ТОТАЛ БОЛЬШЕ (2.5)","алания каждый сезон начинает с результативных матчей это факт",0,0,"Сегодня в 10:51"
"ANTON Старовойтов",-18.89%,"17 июл",16:30,"Черноморец","Алания",2.65,"ТОТАЛ БОЛЬШЕ (3)","Однозначно матч будет фееричным команды идут в атаку помтоянно. Тб 3",0,0,"Сегодня в 10:55"
"Дмитрий Новая Заря",0.00%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания лидер турнира, более опытная + более сильный состав",0,0,"Сегодня в 10:57"
"Дмитрий Борисов",-7.59%,"17 июл",16:30,"Черноморец","Алания",1.98,"ОБЕ ЗАБЬЮТ (НЕТ)","Я ожидаю, что матч будет не очень зрелищным, Алания явный фаворит, с амбициями, что представляет собой Черноморец - сказать трудно, предположим, что для хозяев дебют не удастся",0,0,"Сегодня в 11:05"
"Елена Суворина",-25.13%,"17 июл",16:30,"Черноморец","Алания",2.82,"ФОРА 2 (-1)","алания сильная и забивная команда которая способна выйграть с форой.",0,0,"Сегодня в 11:09"
"Mishgunoid Mi",-22.25%,"17 июл",16:30,"Черноморец","Алания",2.00,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (1.5)","Алания должна уверенно обыграть сегодняшнего соперника.",0,0,"Сегодня в 11:09"
"TAIKUN BET",+6.89%,"17 июл",16:30,"Черноморец","Алания",1.97,"ТОТАЛ БОЛЬШЕ (2.5)","Сухого матча я не ожидаю, тб должен заходить уверенно, пробуют так",0,0,"Сегодня в 11:12"
"Timik75 Zina",-6.73%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания давно уже не проигрывает и сегодня заберут победу в этой встрече",0,0,"Сегодня в 11:14"
"Даниил Линков",-22.50%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания провела два крутых сезона в ФНЛ. И лишь из-за неспортивных моментов все ещё остаётся в ФНЛ. Черноморец новичок дивизиона. Без особых усилений. Думаю будет бороться за выживание.",0,0,"Сегодня в 11:16"
"Евгений Симановский",+22.75%,"17 июл",16:30,"Черноморец","Алания",2.40,"ПОБЕДА 2 ПО ЖЕЛТЫМ КАРТОЧКАМ","Привет всем. В этой встрече победа алании будет хотя бы по жёлтым карточкам.",0,0,"Сегодня в 11:19"
"Василий Пацкан",-5.37%,"17 июл",16:30,"Черноморец","Алания",2.82,"ФОРА 2 (-1)","Алания в прошлом сезоне феерила иногда,и считаю что новичков они могут и обязаны побеждать уверенно",0,0,"Сегодня в 11:32"
"Алексей Волошенюк",+3.76%,"17 июл",16:30,"Черноморец","Алания",2.82,"ФОРА 2 (-1)","Алания очень слаженную и способна выйграть у новичков этой лиги",0,0,"Сегодня в 11:36"
"Андрей Малько",+0.60%,"17 июл",16:30,"Черноморец","Алания",1.98,"ОБЕ ЗАБЬЮТ (НЕТ)","Ожидаю тягучую сложную игру с минимальным количеством забитых мячей",0,0,"Сегодня в 11:39"
"A.R. Zarik",-3.59%,"17 июл",16:30,"Черноморец","Алания",1.72,"ТОТАЛ УГЛОВЫХ МЕНЬШЕ (9.5)","Здесь, предположу, картина очень похожая на первый сегодняшний матч. Добавлю только, что Алания и сама по себе предпочитает проходить через центр и, вообще, доводить моменты до верного.",0,0,"Сегодня в 11:41"
"Sokolov Sokolov",-2.52%,"17 июл",16:30,"Черноморец","Алания",1.75,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 МЕНЬШЕ (1.5)","Россия
Зайду на тотал вторых,Риск! Попробую играть на тотал меньше",0,0,"Сегодня в 11:46"
"Igor Alexandrovich",+19.53%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Заиграем тут чистую победу аланию , думаю смогут победить примерно 2:1",0,0,"Сегодня в 11:46"
"Arne Rude",-0.91%,"17 июл",16:30,"Черноморец","Алания",2.00,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 2 БОЛЬШЕ (1.5)","Алания очень сильный коллектив ФНЛ, который способен не просто победить, а вынести даже самый сильный коллектив.
Черноморец таким сложно назвать, поэтому слабо верится в их оборонительный успех.
Кто любит заоблачные коэффициенты может скомбинировать П2 и ИТБ2 (1.5), но мы остановимся на одном варианте.",0,0,"Сегодня в 12:00"
"футбольный бигги",-42.20%,"17 июл",16:30,"Черноморец","Алания",1.97,"ТОТАЛ БОЛЬШЕ (2.5)","тотал более 3 голов в матче должны пробивать команды уверенно",0,0,"Сегодня в 12:17"
"bestie fr",-16.14%,"17 июл",16:30,"Черноморец","Алания",1.79,"ОБЕ ЗАБЬЮТ (ДА)","Алания в гостях играет не плохо и в первом туре я жду шоу здесь",0,0,"Сегодня в 12:24"
"Илья Шкодин",-1.18%,"17 июл",16:30,"Черноморец","Алания",1.29,"ТОТАЛ БОЛЬШЕ (1.5)","В этом матче обе команды равные по силам мой прогноз на матч ТБ 1.5",0,0,"Сегодня в 12:32"
"Рита Вернись",-7.99%,"17 июл",16:30,"Черноморец","Алания",2.90,"ИНДИВИДУАЛЬНЫЙ ТОТАЛ 1 ПО ЖЕЛТЫМ БОЛЬШЕ (3.5)","Черноморец не будет успевать в обороне и получит много предупреждений",0,0,"Сегодня в 12:34"
"Мастер Ву",+5.17%,"17 июл",16:30,"Черноморец","Алания",1.70,"ТОТАЛ МЕНЬШЕ (5.5) ПО ЖЕЛТЫМ КАРТОЧКАМ","Чемпионат Первой Лиги России🇷🇺🤙Черноморец/Алания.ТМ5.5ЖК",0,0,"Сегодня в 12:41"
"AREA 27",0.00%,"17 июл",16:30,"Черноморец","Алания",1.47,"ТОТАЛ БОЛЬШЕ (2)","Ожидаю верховой матч, но подстрахуюсь закрытым тоталом, пару голов точно должны забить",0,0,"Сегодня в 12:51"
"Эдуард Айдакаев",-100.00%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","""Алания"" должны победить в стартовом матче сезона. Клуб из Владикавказа возьмет новичков Первой лиги ""тепленькими"", пока они еще не адаптировались. Состав ""Алании"" опытнее и сильнее хозяев, которым только предстоит набирать обороты на новом для себя уровне.",0,0,"Сегодня в 12:59"
"Машинист на Ставках",-100.00%,"17 июл",16:30,"Черноморец","Алания",2.67,"ФОРА 1 (0)","Думаю ЧЕрноморец сегодня не проиграет ,а может и выиграет этот матч!",0,0,"Сегодня в 13:01"
"Антоха Stars",-6.61%,"17 июл",16:30,"Черноморец","Алания",1.85,"ТОТАЛ МЕНЬШЕ (2.5)","В первом сойдутся Черноморец и Алания думаю что будет неособо на голы если два забьют и то хорошо",0,0,"Сегодня в 13:04"
"Ilya Vavilin",+7.00%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Игра против новичка лиги. Алания уже несколько раз была близка к выходу в РПЛ, если бы не проблема со стадионом. И по уровню этого новичка явно должны обходить",0,0,"Сегодня в 13:06"
"Dwight Schrute",+14.54%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Думаю Черноморцу сложно придётся в этом матче. Класс команд не сопоставим. Алания тут явный фаворит.",0,0,"Сегодня в 13:07"
"Виталий Юркин",-11.34%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания выиграет с сухим счётом, в два мяча или в три ноль прогноз",0,0,"Сегодня в 13:08"
"Юрген Клопп",-3.93%,"17 июл",16:30,"Черноморец","Алания",2.82,"ФОРА 2 (-1)","Всем привет друзья думаю что команда Алания примет новичка хорошо для себя счёт 3-0",0,0,"Сегодня в 13:09"
"ГОША ГоША",-26.25%,"17 июл",16:30,"Черноморец","Алания",1.97,"ТОТАЛ БОЛЬШЕ (2.5)","Алания думаю свои два Гола смогут забить так что тотал больше думаю будет",0,0,"Сегодня в 13:12"
"Dymovaya Zavesa",-10.04%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Алания хорошо провела межсезонье и готова в этом сезоне снова попытаться выйти в премьер-лигу. Надо начинать уже с первого тура, соперник подходящий.",0,0,"Сегодня в 13:13"
"Арни Норд",+20.31%,"17 июл",16:30,"Черноморец","Алания",2.05,"ТОТАЛ УГЛОВЫХ БОЛЬШЕ (9.5)","Привет всем,  пробую зайти на тотал больше по угловым в матче",0,0,"Сегодня в 13:14"
"Den Loga",-7.83%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","Ну а тут возьму победу Алании - в том сезоне показывали хорошую игру",0,0,"Сегодня в 13:14"
"Лягушов Павел",0.00%,"17 июл",16:30,"Черноморец","Алания",1.94,"ПОБЕДА 2","""Черноморец"" в сегодняшней игре проиграет команде ""Алании""",0,0,"Сегодня в 13:16"
"Павел Вершинен",-3.64%,"17 июл",16:30,"Черноморец","Алания",1.24,"ДВОЙНОЙ ШАНС X2","Ставлю,2х на Алания они сильнее играют могут выиграть 1-2 возможно пенальти",0,0,"Сегодня в 13:17"
"Лаврентий КХЛ",-49.27%,"17 июл",16:30,"Черноморец","Алания",1.50,"ТОТАЛ БОЛЬШЕ (4.5) ПО ЖЕЛТЫМ КАРТОЧКАМ","Матч между Черноморцем и Аланией обещает быть жестким. Жду 5 горчичников.",0,0,"Сегодня в 13:21"
